station_name,address,lat,lon,total_bike,available_bike,location,nowdate
가락시장역 롯데마트앞,서울특별시 송파구 가락동 214-15  가락시장역 롯데마트앞,37.492100,127.117752,20,4,서울,201804261939
가락미륭아파트 앞,서울특별시 서울 송파구 가락동 195-4 가락미륭아파트 앞,37.493198,127.128998,10,5,서울,201804261939
방이역 1번출구,서울특별시 송파구 오금동 17-20 방이역 1번출구,37.508984,127.126595,15,11,서울,201804261939
서강대 후문 옆,서울특별시 마포구 대흥로 122 38-16,37.550411,126.943848,20,4,서울,201804261939
방이동 한양3차아파트 옆,서울특별시 송파구 방이동 225-1 방이동 한양3차아파트 옆,37.506302,127.121399,8,4,서울,201804261939
송파여성문화회관 앞,서울특별시 송파구 송파동 2-3  송파여성문화회관 앞,37.505802,127.109718,10,5,서울,201804261939
장지공영차고지,서울특별시 송파구 장지동 861-6 장지공영차고지,37.480541,127.137016,10,5,서울,201804261939
천호역 10번 출구 앞,서울특별시 송파구 풍납동 490-16 천호역 10번 출구 앞,37.538582,127.122803,8,10,서울,201804261939
문정동 근린공원,서울특별시 송파구 문정동 38-3 문정동 근린공원,37.486149,127.124802,10,0,서울,201804261939
문정동 글샘 공원,서울특별시 송파구 문정동 627 장지동 글샘 공원,37.478809,127.120003,10,5,서울,201804261939
올림픽공원 남2문 앞,서울특별시 송파구 올림픽로 424 올림픽공원 남2문 앞,37.514240,127.123070,15,3,서울,201804261939
몽촌토성역 1번출구 옆,서울특별시 송파구 방이동 88-21  몽촌토성역 1번출구 옆,37.517288,127.114197,15,0,서울,201804261939
리센츠아파트,서울특별시 송파구 올림픽로 135 리센츠아파트 ,37.511944,127.091217,10,4,서울,201804261939
현대벤처빌 앞,서울특별시 마포구 백범로 10 31-213,37.553520,126.936951,15,8,서울,201804261939
송파도서관,서울특별시 송파구 동남로 263 송파도서관,37.499985,127.135391,15,5,서울,201804261939
영파여고 앞,서울특별시 송파구 올림픽로 565 영파여고 앞,37.532848,127.121048,20,13,서울,201804261939
거여초등학교 옆,서울특별시 송파구 마천로25길 18 거여초등학교 옆,37.504589,127.139366,15,15,서울,201804261939
오금동 송파 참병원,서울특별시 송파구 마천로 164 오금동 송파 참병원,37.503757,127.137093,8,9,서울,201804261939
송파구청 교차로,서울특별시 송파구 올림픽로 336 송파구청 교차로,37.515831,127.106796,10,1,서울,201804261939
마천금호어울림 1차아파트 건너편,서울특별시 송파구 성내천로39길 4 마천금호어울림 1차아파트 건너편,37.497517,127.154678,10,3,서울,201804261939
신촌역(2호선) 1번출구 옆,서울특별시 서대문구 연세로 3-5 30-16,37.555496,126.936340,20,5,서울,201804261939
송파파크데일 2단지입구 앞 주차장,서울특별시 송파구 성내천로47길 23 송파파크데일 2단지입구 앞 주차장,37.495659,127.157173,20,5,서울,201804261939
송파소방서 맞은편(성내4교),서울특별시 송파구 오금로51길 56 송파소방서 맞은편(성내4교),37.499874,127.141479,10,8,서울,201804261939
오금공원 사거리,서울특별시 송파구 오금로 363 오금공원 사거리,37.505455,127.131752,8,1,서울,201804261939
위례별 유치원 뒤,서울특별시 송파구 위례광장로 136 위례별 유치원 뒤,37.477470,127.144592,15,7,서울,201804261939
위례중앙푸르지오 1단지 앞,서울특별시 송파구 위례광장로 120 위례중앙푸르지오 1단지 앞,37.474377,127.140671,10,7,서울,201804261939
위례아이파크 101동 맞은편,서울특별시 송파구 위례순환로 419 위례아이파크 101동 맞은편,37.477531,127.141518,8,1,서울,201804261939
문정중교 사거리,서울특별시 송파구 송이로 238 문정중교 사거리,37.487999,127.131088,15,3,서울,201804261939
풍납동 자전거보관소,서울특별시 송파구 토성로 2 풍납동 자전거보관소,37.531471,127.111092,10,8,서울,201804261939
신촌역(2호선) 6번출구 옆,서울특별시 마포구 신촌로 106 31-123,37.555054,126.937569,15,11,서울,201804261939
신촌역(2호선) 7번출구 앞,서울특별시 마포구 신촌로 94 31-123,37.554859,126.936157,10,14,서울,201804261939
