acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
295,2008,광주,북구,9,1,3,15,24,13,10,19,13,22,13,11
296,2008,광주,광산구,,1,2,7,9,4,7,16,16,18,11,7
297,2008,광주,남구,,1,3,3,5,5,4,3,6,3,4,1
298,2008,대전,동구,1,,3,9,19,12,16,6,11,13,11,8
299,2008,대전,중구,4,1,4,8,12,9,9,5,18,10,7,5
300,2008,대전,서구,4,1,3,15,16,12,5,15,11,17,10,13
301,2008,대전,유성구,1,,1,4,9,2,9,4,8,7,6,1
302,2008,대전,대덕구,,,2,3,10,8,6,6,16,15,3,2
303,2008,울산,중구,2,,,8,8,6,3,12,21,8,5,4
304,2008,울산,남구,,,,8,12,9,7,7,9,8,13,9
305,2008,울산,동구,1,,,6,,1,,1,3,7,1,1
306,2008,울산,북구,,1,,12,7,1,6,7,7,10,3,3
307,2008,울산,울주군,,,,3,4,1,2,5,10,3,2,
308,2008,경기,수원시,3,,3,23,24,15,18,25,27,44,27,12
309,2008,경기,성남시,2,,2,9,16,10,8,7,12,6,6,8
310,2008,경기,의정부시,2,,6,11,15,10,11,21,17,21,14,4
311,2008,경기,안양시,4,2,2,12,14,12,8,6,12,18,14,6
312,2008,경기,부천시,4,2,8,22,54,27,16,31,35,38,28,26
313,2008,경기,안산시,2,,7,17,18,9,8,16,19,24,21,6
314,2008,경기,평택시,1,,,14,9,5,8,10,22,20,6,3
315,2008,경기,광명시,1,,,3,2,6,2,3,3,8,3,9
316,2008,경기,구리시,1,,,4,4,3,5,5,8,2,5,2
317,2008,경기,양주시,,,2,2,7,7,3,6,7,7,1,
318,2008,경기,여주시,,,,2,,2,1,,3,2,,1
319,2008,경기,화성시,,,1,8,7,,1,7,8,11,2,1
320,2008,경기,시흥시,1,1,2,12,24,8,15,9,23,13,15,7
321,2008,경기,파주시,,,,2,5,4,3,7,7,5,6,5
322,2008,경기,고양시,6,2,2,19,43,26,22,31,35,33,31,15
323,2008,경기,광주시,,,,2,3,5,4,2,6,5,4,1
324,2008,경기,연천군,,1,,,2,,2,2,3,,2,
325,2008,경기,포천시,,,,2,3,6,1,1,3,7,3,1
